n,t,i,p,u,v,w
255,0.15,1,0.09423199674903436,8.366336145058583e-07,8.408671783177949e-07,5.381511187560013e-07
256,0.16,1,0.09420712545386772,3.0633783041071145e-07,3.070552741983487e-07,2.115023822527485e-07
257,0.16,1,0.09332395371578373,0.00138657555897981,0.0013864626897174834,0.0008008369399019585
258,0.16,1,0.09203569876920725,0.001542992864563317,0.0015433116887282946,0.0008630764588514559
259,0.16,1,0.09165970018397918,0.0003141252589625295,0.0003147135588012994,0.00017566272239959488
260,0.16,1,0.08946337713080772,0.0008857214721087617,0.000882289347202233,0.0005199248495497967
261,0.16,1,0.0890903343358052,8.404971022954464e-07,8.447204626851401e-07,5.134121385551831e-07
262,0.17,1,0.08905855179650402,3.021795053233436e-07,3.027549412230314e-07,1.9824864691004971e-07
263,0.17,1,0.08729281291780112,0.001407681552171812,0.0014061304140408316,0.0007878608220521608
264,0.17,1,0.08544346142890794,0.0015890019935023414,0.0015873406690238684,0.000858260335907887
265,0.17,1,0.08525105720889566,0.00032420864330919664,0.00032455742539084956,0.0001690839191042161
266,0.17,1,0.08253810312381245,0.000911940660635988,0.000907934753337471,0.0005371327986405051
267,0.17,1,0.0821531568902094,8.815346801661254e-07,8.8602106934619e-07,5.064944347063603e-07
268,0.18000000000000002,1,0.08211841877841088,3.106527495844115e-07,3.111933026384819e-07,1.917750147348447e-07
269,0.18000000000000002,1,0.08017942819919306,0.0014693349003603875,0.0014671105445077566,0.000812623158067665
270,0.18000000000000002,1,0.0782211948463251,0.0016767473908675396,0.0016741497108680682,0.0008944822100936957
271,0.18000000000000002,1,0.07796974240174324,0.0003417083964060922,0.00034185038941864695,0.00017507693906660885
272,0.18000000000000002,1,0.07554885516253543,0.000944741125929499,0.0009399299976094599,0.0005545537212072453
273,0.18000000000000002,1,0.07524094261848137,9.529578898925914e-07,9.573862669692567e-07,5.196035400303149e-07
274,0.19000000000000003,1,0.07522262586959491,3.281421693256866e-07,3.2835996783562563e-07,1.91158453596895e-07
275,0.19000000000000003,1,0.07407750991516299,0.001542244765875654,0.0015392174491548592,0.0008468865312749482
276,0.19000000000000003,1,0.07289077878522976,0.0017714041162734642,0.0017678819924491142,0.0009399871475367949
277,0.19000000000000003,1,0.07228981811129624,0.0003613462690233228,0.00036130025324005496,0.00018324237332964123
278,0.19000000000000003,1,0.07132073594722638,0.000971084581941469,0.0009647282071291284,0.0005638982844680532
279,0.19000000000000003,1,0.07113693259718545,1.0334524823600798e-06,1.0381856120345113e-06,5.518139295934701e-07
280,0.20000000000000004,1,0.07113534905955933,3.47998133146735e-07,3.4812100137480636e-07,1.9635246237232894e-07
